source,target,weight
0,88,5
0,42,5
0,89,10
0,2,5
0,41,10
1,63,10
1,27,5
1,22,10
1,20,10
1,21,10
1,9,10
1,19,10
1,15,10
1,3,10
1,10,10
1,8,10
2,41,10
2,4,10
3,91,10
21,3,10
19,3,10
3,8,10
20,3,10
10,3,10
15,3,10
3,9,10
4,0,5
4,42,10
4,41,10
6,4,5
6,13,5
16,6,10
32,6,10
6,24,5
6,27,5
7,42,5
7,34,5
30,7,10
25,7,10
31,7,10
32,7,10
27,7,10
7,15,5
17,7,10
24,7,10
63,8,10
8,88,10
22,8,10
8,26,5
116,8,10
20,8,10
19,8,10
10,8,10
15,8,10
21,8,10
8,9,10
9,42,5
9,4,5
22,9,10
26,9,10
21,9,10
20,9,10
19,9,10
10,9,10
15,9,10
10,22,10
10,33,5
10,63,10
10,26,10
10,21,10
10,20,10
10,15,10
10,19,10
11,23,10
13,61,5
13,41,5
13,4,5
13,2,5
13,42,5
101,13,10
13,18,10
13,16,10
13,17,5
14,51,5
14,73,10
14,18,5
14,24,5
14,4,5
14,27,5
14,43,5
14,54,10
15,31,10
15,20,10
15,26,5
15,21,10
15,6,5
15,17,10
113,16,10
16,27,10
16,32,10
16,18,10
16,43,5
17,22,10
17,87,5
17,99,10
17,88,10
17,30,10
17,18,10
17,44,10
17,42,5
17,52,10
102,17,10
17,46,10
17,32,10
17,6,5
17,27,10
17,31,10
17,34,10
17,24,10
17,25,10
18,4,5
18,42,5
18,40,10
18,96,10
18,53,5
18,45,10
18,36,5
18,31,5
18,32,10
18,27,10
18,43,10
19,20,5
19,21,10
20,63,10
20,21,10
20,33,10
20,26,10
21,33,10
21,26,10
22,2,5
22,88,10
22,41,5
22,99,5
22,42,5
22,27,5
22,31,5
22,25,5
22,7,5
22,15,5
22,46,10
24,46,10
24,32,10
24,25,10
24,34,10
24,27,10
24,31,10
25,32,10
25,31,10
25,27,10
25,30,5
26,63,10
26,19,5
26,33,10
27,32,10
27,34,10
27,45,10
27,48,10
27,13,5
27,31,10
115,27,10
27,36,10
103,27,10
27,53,5
107,27,10
27,97,10
27,55,10
27,96,10
27,46,10
117,28,10
28,7,5
28,18,5
28,27,5
28,115,5
28,114,5
28,36,5
28,64,10
28,66,5
28,69,10
28,65,10
28,53,5
30,27,5
30,31,10
31,42,5
31,45,5
31,4,5
31,32,10
32,36,5
32,92,10
32,97,10
32,38,10
32,57,10
32,13,5
32,46,10
32,43,10
32,34,10
33,9,5
34,31,5
34,85,10
35,31,5
35,68,10
35,80,5
35,49,10
35,18,5
35,27,5
35,67,5
115,36,10
103,36,10
36,53,10
36,45,10
37,42,5
37,61,5
37,27,5
37,15,5
37,18,5
37,103,5
37,114,5
37,115,5
37,24,5
37,2,5
37,0,5
37,4,5
37,53,5
37,7,5
37,31,5
38,2,5
38,42,5
38,24,5
115,38,10
38,114,5
106,38,10
38,31,5
38,7,5
38,18,5
38,61,5
38,0,5
38,4,5
38,27,5
38,58,10
38,36,5
38,53,5
39,4,5
39,73,10
39,42,5
39,76,10
39,70,10
39,77,10
39,114,5
39,115,5
39,27,5
39,36,5
39,53,5
40,43,10
40,13,5
40,36,5
40,96,10
40,16,5
40,45,10
40,27,5
40,15,5
42,99,10
42,88,10
42,15,5
43,6,5
43,27,5
45,87,5
45,96,10
45,16,5
46,34,5
46,31,5
46,7,5
48,16,5
48,18,5
49,27,5
49,42,5
49,18,5
51,42,5
51,15,5
51,4,5
51,27,5
115,53,10
114,53,10
107,53,10
53,103,5
54,18,5
54,62,10
54,27,5
54,43,5
56,54,5
56,62,10
56,27,5
56,43,5
115,57,10
57,103,5
57,58,10
57,27,5
57,36,5
57,53,5
58,61,5
115,58,10
58,114,5
58,106,5
105,58,10
58,59,10
100,58,10
58,31,5
58,18,5
58,97,10
58,13,5
58,27,5
58,36,5
59,57,5
115,59,10
59,38,5
59,31,5
59,32,5
59,13,5
59,97,10
59,53,5
59,18,5
59,27,5
59,36,5
60,7,5
60,114,5
60,103,5
60,36,5
60,115,5
60,53,5
60,27,5
62,27,5
62,43,5
62,18,5
63,3,5
64,66,5
64,42,5
64,18,5
64,69,10
64,65,10
64,114,5
64,27,5
64,115,5
64,53,5
65,39,5
65,73,10
117,65,10
65,114,5
65,66,5
65,69,10
65,27,5
65,36,5
65,115,5
65,53,5
66,114,5
66,27,5
66,115,5
66,53,5
67,43,5
67,18,5
67,31,5
67,24,5
67,96,5
67,27,5
68,42,5
68,43,5
68,31,5
68,7,5
68,27,5
68,67,5
68,51,5
69,66,5
69,27,5
69,115,5
69,53,5
70,24,5
70,31,5
70,17,5
70,75,5
70,78,10
70,84,5
70,71,10
70,27,5
70,72,10
70,77,10
70,76,10
70,73,10
70,74,10
70,53,5
70,36,5
70,95,10
71,4,5
71,77,10
71,39,5
71,114,5
71,95,10
71,78,10
71,76,10
71,72,10
71,75,10
71,36,5
71,73,10
71,74,10
71,27,5
71,53,5
72,24,5
72,18,5
72,34,5
72,84,5
72,76,10
72,115,5
72,78,10
72,39,5
72,114,5
72,27,5
72,73,10
72,75,10
72,77,10
72,74,10
72,95,10
72,53,5
72,31,5
73,42,5
73,45,5
73,48,5
117,73,10
73,51,5
73,18,5
73,77,10
73,95,10
73,74,10
73,115,5
73,114,5
73,103,5
73,53,5
73,36,5
73,27,5
74,84,10
74,115,5
74,76,10
74,36,5
74,77,10
74,75,10
74,114,5
74,27,5
74,39,5
74,78,10
74,95,10
75,77,10
75,76,10
75,73,5
75,95,10
75,78,10
75,53,5
75,27,5
76,42,5
76,4,5
76,84,5
76,96,5
76,46,5
76,77,10
76,95,10
76,73,5
76,24,5
76,7,5
76,31,5
76,103,5
76,114,5
76,53,5
76,27,5
76,78,10
76,115,5
77,18,5
77,115,5
77,78,10
77,95,10
77,27,5
77,53,5
78,95,10
